Metric,Original_Mean,Original_Median,Original_Std,Original_Variance,Adaptive_Mean,Adaptive_Median,Adaptive_Std,Adaptive_Variance,Mean_Difference,Avg_Percent_Change (%)
SUS Score,35.75,35.0,5.359547319946665,28.724747474747474,87.2,87.5,10.999770429193033,120.9949494949495,51.45,151.81852289866998
TLX Overall,14.9842176508468,14.971038913210464,0.7215618383901788,0.5206514866210146,9.033448302464345,8.937259435681113,0.7692187233490378,0.5916974443507236,-5.950769348382455,-39.51207079356344
Errors Subtask1 Count,0.04,0.0,0.28141058827257937,0.07919191919191919,0.0,0.0,0.0,0.0,-0.04,-2.0
Errors Subtask2 Count,0.41,0.0,0.5522223238420327,0.3049494949494949,0.65,1.0,0.4793724854411023,0.2297979797979798,0.24000000000000005,-6.666666666666666
Errors Subtask3 Count,0.49,0.0,0.5221362491019585,0.27262626262626255,0.14,0.0,0.348735088019777,0.12161616161616161,-0.35,-39.583333333333336
Time Subtask1 Seconds,51.7,45.0,17.569774321173554,308.6969696969697,44.8,45.0,2.0000000000000004,4.000000000000002,-6.900000000000006,-7.625
Time Subtask2 Seconds,61.0,60.0,13.180947376322148,173.73737373737373,59.6,60.0,4.0,16.000000000000004,-1.3999999999999986,0.5476190476190474
Time Subtask3 Seconds,45.0,40.0,7.351217861035275,54.04040404040404,40.05,40.0,3.056290086184408,9.340909090909093,-4.950000000000003,-9.294444444444444
TLX Mental Demand,14.81441181080928,14.886433836808258,1.7138319678183862,2.937220013916242,9.013930536575536,8.990236764889444,1.7468435350263494,3.0514623358633526,-5.800481274233745,-38.38595029839158
TLX Physical Demand,14.962202325244174,15.046306467556722,1.7135668482823272,2.9363113435322283,9.17830129534227,9.466851161338266,1.6700256908230426,2.788985808008981,-5.783901029901905,-37.8015148049118
TLX Temporal Demand,14.818565031142187,14.742733254831904,1.8118473599509204,3.28279085576112,8.630472505969596,8.21907857048166,1.7224064268213772,2.9666838991555844,-6.188092525172591,-40.853229677519096
TLX Performance,15.107650763133766,15.167642418341828,1.8806762200719265,3.5369430447440293,8.97627043852558,9.017133265157897,1.7439541422175724,3.0413760501578286,-6.131380324608186,-39.73701542836383
TLX Effort,15.151153930075637,15.337789514197656,1.9703614403943346,3.882324205792837,9.261054846148177,9.392367118077502,1.6561668715343587,2.7428887063679053,-5.89009908392746,-37.8497337183691
TLX Frustration,15.051322044675754,14.896077279606377,1.6730477771876193,2.799088864752434,9.140660192224919,9.296219202702915,1.6906329301488867,2.8582397045038106,-5.9106618524508345,-38.20127874853916
