id,name,age,role,experience_years,tech_savvy,stress_tolerance,shift,outlook,openness,conscientiousness,extraversion,agreeableness,neuroticism,learning_style,region,education,gender,prior_tech_experience,prior_change_experience,Original_Errors_Subtask1_count,Original_Errors_Subtask2_count,Original_Errors_Subtask3_count,Original_SUS_1,Original_SUS_10,Original_SUS_2,Original_SUS_3,Original_SUS_4,Original_SUS_5,Original_SUS_6,Original_SUS_7,Original_SUS_8,Original_SUS_9,Original_SUS_Score,Original_TLX_Effort,Original_TLX_Frustration,Original_TLX_Mental_Demand,Original_TLX_Overall,Original_TLX_Performance,Original_TLX_Physical_Demand,Original_TLX_Temporal_Demand,Original_Time_Subtask1_seconds,Original_Time_Subtask2_seconds,Original_Time_Subtask3_seconds,Adaptive_Errors_Subtask1_count,Adaptive_Errors_Subtask2_count,Adaptive_Errors_Subtask3_count,Adaptive_SUS_1,Adaptive_SUS_10,Adaptive_SUS_2,Adaptive_SUS_3,Adaptive_SUS_4,Adaptive_SUS_5,Adaptive_SUS_6,Adaptive_SUS_7,Adaptive_SUS_8,Adaptive_SUS_9,Adaptive_SUS_Score,Adaptive_TLX_Effort,Adaptive_TLX_Frustration,Adaptive_TLX_Mental_Demand,Adaptive_TLX_Overall,Adaptive_TLX_Performance,Adaptive_TLX_Physical_Demand,Adaptive_TLX_Temporal_Demand,Adaptive_Time_Subtask1_seconds,Adaptive_Time_Subtask2_seconds,Adaptive_Time_Subtask3_seconds,Errors_Subtask1_count_Change,Errors_Subtask2_count_Change,Errors_Subtask3_count_Change,SUS_Score_Change,TLX_Effort_Change,TLX_Frustration_Change,TLX_Mental_Demand_Change,TLX_Overall_Change,TLX_Performance_Change,TLX_Physical_Demand_Change,TLX_Temporal_Demand_Change,Time_Subtask1_seconds_Change,Time_Subtask2_seconds_Change,Time_Subtask3_seconds_Change,Adaptive_Raw_Performance,Adaptive_Raw_SUS,Adaptive_Raw_TLX,Original_Raw_Performance,Original_Raw_SUS,Original_Raw_TLX
0,Persona_0,60,Operator,1,High,Medium,Day,optimistic,2,1,5,1,5,Reading/Writing,North America,High School,Male,6,None,0,0,1,4,4,5,3,4,3,4,4,5,3,37.50,13.21,13.14,14.58,15.43,16.98,17.87,16.83,45,60,40,0,1,0,5,2,2,5,2,5,2,5,2,5,87.50,8.18,10.02,8.30,8.28,7.88,9.07,6.23,45,60,40,0,1,-1,50.00,-5.03,-3.12,-6.28,-7.15,-9.11,-8.80,-10.60,0,0,0,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 10
TLX_Physical_Demand: 5
TLX_Temporal_Demand: 8
TLX_Performance: 5
TLX_Effort: 12
TLX_Frustration: 6","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 1","SUS_1: 3
SUS_2: 4
SUS_3: 2
SUS_4: 3
SUS_5: 2
SUS_6: 3
SUS_7: 3
SUS_8: 4
SUS_9: 2
SUS_10: 3","TLX_Mental_Demand: 16
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 18
TLX_Performance: 14
TLX_Effort: 17
TLX_Frustration: 15"
1,Persona_1,52,Supervisor,1,High,Low,Night,optimistic,4,5,3,1,2,Reading/Writing,Asia,Bachelor's,Male,6,Some,0,0,1,4,5,5,5,5,4,5,5,5,4,42.50,12.78,16.18,13.27,15.99,17.90,17.92,17.89,45,60,40,0,1,0,5,3,3,5,3,5,3,5,3,5,75.00,6.33,7.20,8.91,8.34,10.43,9.97,7.20,45,60,40,0,1,-1,32.50,-6.46,-8.98,-4.36,-7.65,-7.46,-7.95,-10.69,0,0,0,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 12
TLX_Physical_Demand: 7
TLX_Temporal_Demand: 10
TLX_Performance: 5
TLX_Effort: 14
TLX_Frustration: 8","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 1","SUS_1: 2
SUS_2: 4
SUS_3: 3
SUS_4: 3
SUS_5: 2
SUS_6: 4
SUS_7: 3
SUS_8: 4
SUS_9: 2
SUS_10: 4","TLX_Mental_Demand: 16
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 14
TLX_Performance: 18
TLX_Effort: 15
TLX_Frustration: 17"
2,Persona_2,26,Operator,13,Low,Medium,Night,pessimistic,3,1,4,5,1,Reading/Writing,North America,PhD,Female,26,Extensive,0,0,1,2,4,4,2,4,3,4,3,4,2,30.00,16.30,16.33,13.61,15.73,12.78,17.60,17.72,45,60,40,0,0,0,5,1,1,5,1,5,1,5,1,5,100.00,7.34,10.50,9.65,8.89,6.57,11.06,8.24,45,60,40,0,0,-1,70.00,-8.96,-5.83,-3.96,-6.83,-6.21,-6.54,-9.49,0,0,0,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 12
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 10
TLX_Performance: 6
TLX_Effort: 11
TLX_Frustration: 7","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 1","SUS_1: 2
SUS_2: 4
SUS_3: 2
SUS_4: 4
SUS_5: 3
SUS_6: 4
SUS_7: 3
SUS_8: 4
SUS_9: 2
SUS_10: 4","TLX_Mental_Demand: 16
TLX_Physical_Demand: 9
TLX_Temporal_Demand: 18
TLX_Performance: 15
TLX_Effort: 17
TLX_Frustration: 14"
3,Persona_3,59,Technician,19,Low,High,Day,optimistic,2,3,1,2,1,Reading/Writing,Asia,Master's,Other,26,Some,0,1,0,3,5,5,4,5,3,4,4,5,4,35.00,17.51,16.38,16.97,15.50,16.94,12.79,12.41,45,60,40,0,1,0,5,2,2,5,2,5,2,5,2,5,87.50,8.73,6.97,6.22,7.80,10.55,8.25,6.08,45,60,40,0,0,0,52.50,-8.79,-9.41,-10.75,-7.70,-6.39,-4.55,-6.33,0,0,0,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 14
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 12
TLX_Performance: 6
TLX_Effort: 10
TLX_Frustration: 9","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 2
SUS_2: 4
SUS_3: 3
SUS_4: 4
SUS_5: 2
SUS_6: 3
SUS_7: 3
SUS_8: 4
SUS_9: 3
SUS_10: 4","TLX_Mental_Demand: 16
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 14
TLX_Performance: 18
TLX_Effort: 15
TLX_Frustration: 12"
4,Persona_4,30,Technician,12,Low,High,Night,pessimistic,1,5,2,5,2,Auditory,South America,Master's,Female,29,Extensive,0,0,1,1,2,2,1,2,1,2,1,2,1,37.50,17.07,13.59,14.03,15.15,14.23,17.16,14.79,45,60,50,0,0,1,3,1,1,3,1,3,1,3,1,3,75.00,9.36,7.72,7.65,8.14,6.28,9.88,7.93,45,60,50,0,0,0,37.50,-7.70,-5.87,-6.37,-7.01,-7.96,-7.28,-6.86,0,0,0,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 50
Errors_Subtask3_count: 1","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 12
TLX_Physical_Demand: 6
TLX_Temporal_Demand: 10
TLX_Performance: 5
TLX_Effort: 8
TLX_Frustration: 9","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 50
Errors_Subtask3_count: 1","SUS_1: 2
SUS_2: 4
SUS_3: 3
SUS_4: 4
SUS_5: 2
SUS_6: 4
SUS_7: 3
SUS_8: 4
SUS_9: 3
SUS_10: 4","TLX_Mental_Demand: 16
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 14
TLX_Performance: 18
TLX_Effort: 15
TLX_Frustration: 16"
5,Persona_5,55,Operator,22,Medium,Low,Day,optimistic,3,4,3,1,2,Kinesthetic,Europe,Master's,Female,28,Extensive,0,0,1,4,5,5,5,5,4,5,5,5,4,42.50,13.94,13.69,15.47,14.66,15.78,15.41,13.69,45,60,50,0,1,0,5,3,3,5,3,5,3,5,3,5,75.00,9.72,7.50,6.86,9.31,11.11,9.65,11.00,45,60,40,0,1,-1,32.50,-4.22,-6.19,-8.60,-5.36,-4.67,-5.76,-2.69,0,0,-10,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 13
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 11
TLX_Performance: 5
TLX_Effort: 14
TLX_Frustration: 10","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 50
Errors_Subtask3_count: 1","SUS_1: 2
SUS_2: 4
SUS_3: 3
SUS_4: 4
SUS_5: 2
SUS_6: 3
SUS_7: 3
SUS_8: 4
SUS_9: 2
SUS_10: 4","TLX_Mental_Demand: 15
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 12
TLX_Performance: 17
TLX_Effort: 14
TLX_Frustration: 16"
6,Persona_6,49,Operator,9,Low,Low,Night,pessimistic,5,4,5,4,3,Auditory,Europe,PhD,Female,2,None,0,1,0,3,5,5,4,5,3,5,4,5,3,30.00,12.13,13.43,15.40,14.68,15.87,14.19,17.07,45,60,40,0,1,0,5,2,2,5,2,5,2,5,2,5,87.50,8.84,11.04,9.65,9.07,9.98,7.79,7.14,45,60,40,0,0,0,57.50,-3.29,-2.39,-5.74,-5.61,-5.89,-6.40,-9.93,0,0,0,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 14
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 12
TLX_Performance: 6
TLX_Effort: 11
TLX_Frustration: 9","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 2
SUS_2: 4
SUS_3: 3
SUS_4: 4
SUS_5: 2
SUS_6: 4
SUS_7: 3
SUS_8: 4
SUS_9: 2
SUS_10: 4","TLX_Mental_Demand: 16
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 18
TLX_Performance: 15
TLX_Effort: 17
TLX_Frustration: 14"
7,Persona_7,27,Operator,21,Low,High,Night,pessimistic,1,4,4,5,4,Kinesthetic,Africa,High School,Other,23,None,0,0,0,1,2,2,1,2,1,2,1,2,1,37.50,15.52,12.30,14.91,14.71,15.49,16.10,13.96,60,45,50,0,0,0,3,1,1,3,1,3,1,3,1,3,75.00,9.94,10.14,10.16,9.00,7.02,6.65,10.06,45,60,40,0,0,0,37.50,-5.58,-2.15,-4.75,-5.72,-8.47,-9.45,-3.90,-15,15,-10,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 14
TLX_Physical_Demand: 7
TLX_Temporal_Demand: 12
TLX_Performance: 5
TLX_Effort: 10
TLX_Frustration: 8","Time_Subtask1_seconds: 60
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 45
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 50
Errors_Subtask3_count: 0","SUS_1: 2
SUS_2: 4
SUS_3: 3
SUS_4: 4
SUS_5: 2
SUS_6: 4
SUS_7: 3
SUS_8: 4
SUS_9: 3
SUS_10: 4","TLX_Mental_Demand: 17
TLX_Physical_Demand: 11
TLX_Temporal_Demand: 16
TLX_Performance: 14
TLX_Effort: 15
TLX_Frustration: 18"
8,Persona_8,54,Technician,25,High,Medium,Day,neutral,4,2,4,1,3,Auditory,Africa,High School,Other,9,Extensive,0,0,1,4,4,5,3,4,3,4,4,5,3,37.50,17.50,15.43,14.06,15.41,13.55,16.58,15.32,45,60,50,0,1,0,5,3,2,5,2,5,2,5,2,5,85.00,10.30,7.77,6.23,8.10,8.15,6.38,9.76,45,60,40,0,1,-1,47.50,-7.21,-7.66,-7.83,-7.31,-5.41,-10.19,-5.56,0,0,-10,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 4
SUS_10: 2","TLX_Mental_Demand: 12
TLX_Physical_Demand: 6
TLX_Temporal_Demand: 9
TLX_Performance: 4
TLX_Effort: 10
TLX_Frustration: 7","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 0
Time_Subtask3_seconds: 50
Errors_Subtask3_count: 1","SUS_1: 3
SUS_2: 4
SUS_3: 2
SUS_4: 3
SUS_5: 2
SUS_6: 3
SUS_7: 3
SUS_8: 4
SUS_9: 2
SUS_10: 3","TLX_Mental_Demand: 15
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 14
TLX_Performance: 16
TLX_Effort: 12
TLX_Frustration: 13"
9,Persona_9,52,Supervisor,7,Low,Medium,Day,pessimistic,5,1,5,3,4,Visual,North America,Bachelor's,Female,7,None,0,1,0,2,4,4,3,4,2,4,3,4,3,32.50,16.65,17.04,16.10,16.07,16.88,17.73,12.05,45,60,50,0,1,0,5,1,1,5,1,5,1,5,1,5,100.00,6.68,10.52,11.34,9.43,8.63,11.93,7.49,45,60,40,0,0,0,67.50,-9.96,-6.52,-4.76,-6.64,-8.25,-5.80,-4.55,0,0,-10,"Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 40
Errors_Subtask3_count: 0","SUS_1: 5
SUS_2: 1
SUS_3: 5
SUS_4: 1
SUS_5: 5
SUS_6: 1
SUS_7: 5
SUS_8: 1
SUS_9: 5
SUS_10: 1","TLX_Mental_Demand: 14
TLX_Physical_Demand: 7
TLX_Temporal_Demand: 10
TLX_Performance: 5
TLX_Effort: 12
TLX_Frustration: 8","Time_Subtask1_seconds: 45
Errors_Subtask1_count: 0
Time_Subtask2_seconds: 60
Errors_Subtask2_count: 1
Time_Subtask3_seconds: 50
Errors_Subtask3_count: 0","SUS_1: 2
SUS_2: 4
SUS_3: 3
SUS_4: 4
SUS_5: 2
SUS_6: 4
SUS_7: 3
SUS_8: 4
SUS_9: 3
SUS_10: 4","TLX_Mental_Demand: 16
TLX_Physical_Demand: 8
TLX_Temporal_Demand: 14
TLX_Performance: 18
TLX_Effort: 15
TLX_Frustration: 17"
